"GAMA.ID.number","Calcium.mgpL","Magnesium.mgpL","Potassium.mgpL","Sodium.mgpL","SO4.mgpl","Cl.mgpl","HCO3.mgpl","CO3.mgpl","Ca.meq","Mg.meq","K.meq","Na.meq","SO4.meq","Cl.meq","HCO3.meq","CO3.meq","Ca.pct","Mg.pct","K.Na.pct","Unit","Ca.Mg.pct","SO4.Clj.pct","HCO3.CO3.pct","sym","label","Cl.pct","SO4.pct"
"SIERRA-G-18",4.09,0.183,0.4,1.04,0.33,0.12,19,0,0.204091816,0.015049342,0.010230179,0.045217391,0.006870706,0.003384095,0.311424357,0,74.32636338,5.480684575,20.19295205,"G",79.80704795,3.187897112,96.81210289,1,1,1.05200940621711,2.13588783392675
"SIERRA-M-01",29.5,6.91,1.49,44.6,37.8,41.3,126,0,1.472055888,0.568256579,0.038107417,1.939130435,0.78700812,1.164692611,2.065235207,0,36.64063351,14.14435499,49.21501151,"M",50.78498849,48.58680251,51.41319749,2,2,28.9945527879116,19.5922497183723
"SIERRA-M-02",62.6,17.1,3.22,20.5,57.2,23.6,217,0,3.123752495,1.40625,0.082352941,0.891304348,1.19092234,0.665538635,3.556793968,0,56.75773245,25.55117967,17.69108788,"M",82.30891212,34.29472646,65.70527354,2,2,12.2946109504896,22.0001155042588
"SIERRA-M-03",26.2,10.7,0.36,14.5,5.53,0.57,168,0,1.30738523,0.879934211,0.009207161,0.630434783,0.115136373,0.01607445,2.753646943,0,46.24701409,31.12650267,22.62648324,"M",77.37351676,4.5482597,95.4517403,2,2,0.557200780899782,3.99105891309305
"SIERRA-M-04",24.8,1.64,0.38,1.57,1.68,0.17,91,0,1.23752495,0.134868421,0.00971867,0.06826087,0.034978139,0.004794134,1.491558761,0,85.32460451,9.298878933,5.376516554,"M",94.62348345,2.597235478,97.40276452,2,2,0.313069734339362,2.28416575014701
"SIERRA-M-05",22.5,6.7,1.7,8.98,4.56,0.64,122,0,1.122754491,0.550986842,0.043478261,0.390434783,0.094940662,0.018048505,1.999672185,0,53.27033234,26.14218195,20.5874857,"M",79.4125143,5.348191149,94.65180885,2,2,0.854301849319767,4.49388927904239
"SIERRA-M-06",10.2,2.71,0.09,2.5,0.46,0.82,54,0,0.508982036,0.222861842,0.00230179,0.108695652,0.009577347,0.023124647,0.885100803,0,60.38883282,26.44173188,13.16943531,"M",86.83056469,3.56307423,96.43692577,2,2,2.51956597600127,1.04350815134855
"SIERRA-S-01",99.2,16.9,2.79,56.1,111,32.1,316,0,4.9500998,1.389802632,0.071355499,2.439130435,2.31105559,0.905245347,5.179478774,0,55.93087666,15.70329543,28.36582791,"S",71.63417209,38.30854367,61.69145633,3,3,10.7821474378843,27.5263962318127
"SIERRA-S-02",15.1,0.902,2.03,17,3.07,11.6,73,2,0.753493014,0.074177632,0.051918159,0.739130435,0.063918384,0.32712916,1.19652516,0.066666667,46.54871554,4.582489032,48.86879542,"S",51.13120458,23.63911481,76.36088519,3,3,19.77520096153,3.86391383983086
"SIERRA-S-03",22.6,6.05,2.55,20.5,14.7,9.04,123,0,1.127744511,0.497532895,0.065217391,0.891304348,0.306058713,0.254935138,2.016062941,0,43.68056722,19.27078238,37.0486504,"S",62.9513496,21.76878109,78.23121891,3,3,9.89249203942262,11.8762890266952
"SIERRA-V-01",14.7,4.95,3.02,4.31,0.2,0.21,90,0,0.733532934,0.407072368,0.077237852,0.187391304,0.004164064,0.005922166,1.475168005,0,52.20003891,28.96828824,18.83167285,"V",81.16832715,0.679091142,99.32090886,19,4,0.398730793721655,0.280360351909719
"SIERRA-V-02",19.3,9.48,1.67,7.06,1.16,1.85,126,0,0.963073852,0.779605263,0.042710997,0.306956522,0.024151572,0.052171461,2.065235207,0,46.02840831,37.25985218,16.71173951,"V",83.28826049,3.563901803,96.4360982,19,4,2.43614486057591,1.12775695514122
"SIERRA-V-03",4.95,5.3,2.49,8.44,0.83,3.15,63,0,0.247005988,0.435855263,0.063682864,0.366956522,0.017280866,0.088832487,1.032617604,0,22.18283311,39.14279422,38.67437267,"V",61.32562733,9.31856228,90.68143772,19,4,7.80100746835146,1.51755477391487
"SIERRA-GL-01",28.7,6.29,3.71,23.1,6.92,7.71,151,0,1.432135729,0.517269737,0.09488491,1.004347826,0.144076619,0.217428088,2.475004098,0,46.97624427,16.96723923,36.05651651,"G",63.94348349,12.74470596,87.25529404,1,1,7.66534155003266,5.07936441960031
"SIERRA-GL-02",26.9,14.4,1.62,12,9.34,11.4,150,0,1.342315369,1.184210526,0.041432225,0.52173913,0.194461795,0.321489002,2.458613342,0,43.44488344,38.32772049,18.22739608,"G",81.77260392,17.34542516,82.65457484,1,1,10.8079364564678,6.53748871810762
"SIERRA-GL-03",5.84,0.093,0.2,1.34,0.56,0.21,23,0,0.291417166,0.007648026,0.00511509,0.05826087,0.01165938,0.005922166,0.376987379,0,80.40399519,2.110142928,17.48586188,"G",82.51413812,4.455886991,95.54411301,1,1,1.50092052991756,2.95496661324761
"SIERRA-GL-04",4.67,0.982,1.64,2.27,0.52,0.26,30,0,0.233033932,0.080756579,0.041943734,0.098695652,0.010826567,0.007332205,0.491722668,0,51.28050191,17.77096521,30.94853288,"G",69.05146712,3.561371446,96.43862855,1,1,1.43802155261819,2.12334989090797
"SIERRA-GL-05",11.2,2.35,2.33,6.08,1.95,0.44,65,0,0.558882236,0.193256579,0.059590793,0.264347826,0.040599625,0.012408347,1.065399115,0,51.93699061,17.95935617,30.10365322,"G",69.89634678,4.73959556,95.26040444,1,1,1.10946605616422,3.63012944677451
"SIERRA-GL-06",5.52,0.883,0.33,4.19,0,0.24,35,0,0.275449102,0.072615132,0.008439898,0.182173913,0,0.00676819,0.573676446,0,51.13427302,13.48024713,35.38547985,"G",64.61452015,1.166035327,98.83396467,1,1,1.16603541151511,0
"SIERRA-GL-07",37.2,17,1.01,11.3,11,13.1,185,0,1.856287425,1.398026316,0.025831202,0.491304348,0.229023527,0.369430344,3.032289789,0,49.21947193,37.06867594,13.71185213,"G",86.28814787,16.48295576,83.51704424,1,1,10.1750599490133,6.30789580446448
"SIERRA-GL-08",5.84,1.12,1.2,4.34,0.14,1.54,37,0,0.291417166,0.092105263,0.030690537,0.188695652,0.002914845,0.043429216,0.606457958,0,48.33521315,15.2768198,36.38796704,"G",63.61203296,7.099252083,92.90074792,1,1,6.65273922812423,0.44651286533475
"SIERRA-GL-09",3.21,0.288,0.53,7.8,0.16,1.55,31,0,0.160179641,0.023684211,0.013554987,0.339130435,0.003331251,0.043711224,0.508113424,0,29.85366838,4.414172511,65.73215911,"G",34.26784089,8.47374139,91.52625861,1,1,7.87368450533208,0.600056849976839
"SIERRA-GL-10",26.4,9.6,4.75,7.45,2.74,2.62,152,0,1.317365269,0.789473684,0.121483376,0.323913043,0.057047679,0.073886069,2.491394853,0,51.61613554,30.93263625,17.45122821,"G",82.54877179,4.99303357,95.00696643,1,1,2.81757476815927,2.17545882610766
